source,headline,url,scraped_at
Block Club Chicago,"Block Club Wins National First Amendment Award For Midway Blitz Coverage, Lawsuits",https://blockclubchicago.org/2026/08/27/block-club-wins-national-first-amendment-award-for-midway-blitz-coverage-lawsuits/,2026-08-27 23:20:04
Block Club Chicago,Advocates Decry Removals Of Unaccompanied Immigrant Kids In Chicago: ‘There Were Tears’,https://blockclubchicago.org/2026/08/26/advocates-decry-removals-of-unaccompanied-immigrant-kids-in-chicago-there-were-tears/,2026-08-27 23:20:04
Block Club Chicago,Illinois Promised To Protect Immigrants. Local Officials Helped Deport Them Anyway,https://blockclubchicago.org/2026/08/25/illinois-promised-to-protect-immigrants-local-officials-helped-deport-them-anyway/,2026-08-27 23:20:04
Block Club Chicago,The County Prosecutors Who Became ICE Informants,https://blockclubchicago.org/2026/08/25/the-county-prosecutors-who-became-ice-informants/,2026-08-27 23:20:04
Block Club Chicago,"Chicago DJ And His Husband Released From ICE Custody, But Their Battle Isn’t Over",https://blockclubchicago.org/2026/08/19/chicago-dj-and-his-husband-released-from-ice-custody-but-their-battle-isnt-over/,2026-08-27 23:20:04
Block Club Chicago,"He Watched His Mother Advocate For Special Ed Support In CPS. Now, He’s Voting For Change",https://blockclubchicago.org/2026/08/13/he-watched-his-mother-advocate-for-special-ed-support-in-cps-now-hes-voting-for-change/,2026-08-27 23:20:04
Block Club Chicago,Chicagoans Alleging Crimes By ICE Agents Seek Police Help After Feds ‘Fail To Act’,https://blockclubchicago.org/2026/08/10/chicagoans-alleging-crimes-by-ice-agents-seek-police-help-after-feds-fail-to-act/,2026-08-27 23:20:04
Block Club Chicago,ICE Arrests Are On The Rise Again In Chicago. Here’s What Immigrants Need To Know,https://blockclubchicago.org/2026/07/09/ice-arrests-are-on-the-rise-in-chicago-heres-what-immigrants-need-to-know/,2026-08-27 23:20:04
Block Club Chicago,Immigrants In Illinois Are Finding Success Challenging Their Detention In Federal Court,https://blockclubchicago.org/2026/06/26/immigrants-in-illinois-are-finding-success-challenging-their-detention-in-federal-court/,2026-08-27 23:20:04
Block Club Chicago,"Street Vendor Ticketed By Police, Then Detained By ICE: ‘We Don’t Know Who We Can Trust’",https://blockclubchicago.org/2026/06/18/immigrant-street-vendor-detained-by-ice-after-chicago-police-arrest-we-dont-know-who-we-can-trust/,2026-08-27 23:20:04
