source,content,date,scraped_at
Nitter (@FoodDepository),"PFCU is a proud supporter of the Greater Chicago Food Depository. This past November, we ran a food & cash donation drive. Our members donated $5,375 and we matched donations nearly dollar-per-dollar. Today, we presented the GCFD with a $10,000 check.  #mypfcu @FoodDepository","Jan 12, 2026 · 4:10 PM UTC",2026-01-13 23:01:09
Nitter (@FoodDepository),"Don’t lose your SNAP benefits. Take these steps by Feb. 1st:
1) Update your information with IDHS
2) Review work requirements and exemptions
3) Share info on updated rules with your family and friends

Visit chicagosfoodbank.org/snap for more info & support. @FoodDepository","Jan 9, 2026 · 6:55 PM UTC",2026-01-13 23:01:09
Nitter (@FoodDepository),"Families waiting on SNAP can still get help.
 
The @FoodDepository is setting up extra food distribution sites every Saturday in November, offering prepacked grocery boxes for those who need support.

Food banks are stepping up, but it’s not enough. President Trump needs to release the emergency funds NOW.","Oct 31, 2025 · 7:03 PM UTC",2026-01-13 23:01:09
Nitter (@FoodDepository),"We support @PAWSChicago  + @FoodDepository . If you have a local org doing great work, reply with their name; we’re always looking for places to support.","Jan 8, 2026 · 4:01 PM UTC",2026-01-13 23:01:09
Nitter (@FoodDepository),"Mission accepted. 📢📢📢📢
@realDonaldTrump @elonmusk @FoodNetwork  @FoodDepository 
Asking for A million dollar donation to shibasequoiaforest.com . Why because people like @AndrewLads @gabby_girl007 and myself will do what is necessary to save plant earth . Lets grow🌳","Jan 5, 2026 · 5:11 PM UTC",2026-01-13 23:01:09
Nitter (@FoodDepository),"You would think this box was 200lbs 🤣
@FoodDepository #WeWorkin","Jan 5, 2026 · 4:12 PM UTC",2026-01-13 23:01:09
Nitter (@FoodDepository),💙,"Dec 31, 2025 · 5:59 PM UTC",2026-01-13 23:01:09
Nitter (@FoodDepository),"When @EvertonInUSA came to Chicago on tour this Summer, we ran a raffle to raise money for the @FoodDepository 

Today we’ve finally submitted our donation.  The $2,386 collected will help provide over 14,000 meals to those who need it.

Thanks to all who donated 💙#EndHungerNow","Dec 31, 2025 · 5:50 PM UTC",2026-01-13 23:01:09
Nitter (@FoodDepository),"🔥 The 2026 #FireForFood campaign benefitting @FoodDepository has officially launched! (Our ✨8th✨ annual food drive!)

❤️ Help support our neighbors experiencing food insecurity with a donation, if you’re able.
$1 = 3 meals 

bit.ly/FFF2026

#cf97 #VamosFire","Dec 28, 2025 · 4:13 PM UTC",2026-01-13 23:01:09
Nitter (@FoodDepository),"When asked what is at greatest stake in terms of food insecurity, Danielle Perry of @fooddepository tells us: ""I think what's so important right now is that we all become advocates for SNAP.""

There's more from @ChiTrust's Trust Talks podcast: 🔗 cct.org/stories/trust-talks-…","Dec 23, 2025 · 5:06 PM UTC",2026-01-13 23:01:09
Nitter (@FoodDepository),"Resist #Bioengineered Process Contaminated Foods #SignPetition Save The Heroes 

@JewelOsco ⁦@FoodDepository⁩ ⁦@USDAFoodSafety⁩ ⁦@FoodSafety⁩ ⁦@CDCgov⁩ ⁦@CDCGlobal⁩ ⁦@FoodBank4NYC⁩ ⁦@FoodbankVic⁩ ⁦@NFoodbank⁩ nbcchicago.com/news/local/fr…","Dec 22, 2025 · 8:10 PM UTC",2026-01-13 23:01:09
Nitter (@FoodDepository),"SNAP Rules change February 1.  New rules include Work Requirements. Organizations and agencies are lining up resources to help people make this transition. This includes the Greater Chicago Food Depository. Learn more chicagosfoodbank.org/snap
@FoodDepository 
#SaveOurSNAP","Dec 18, 2025 · 6:16 PM UTC",2026-01-13 23:01:09
Nitter (@FoodDepository),"This past Thursday & Friday, The U, @MeTVFM & our partners - @FoodDepository, @jewelosco, @cta & @WalnerLaw joined forces for our annual #FillaBagFillaBus food drive🚍

Thank you to all who donated both in person and online! 

Click 🔗for a FAB FAB recap: wciu.com/articles/fill-a-bag…","Dec 16, 2025 · 9:46 PM UTC",2026-01-13 23:01:09
Nitter (@FoodDepository),"From #TheU, @MeTVFM and our partners, THANK YOU to everyone who donated to our #FillaBagFillaBus food drive.🚌🥫

Thanks to you, we were able to provide tens of thousands of meals to the @FoodDepository and its partner pantries, @TogetherWeCope & @gobeyondhunger.❤️","Dec 15, 2025 · 7:31 PM UTC",2026-01-13 23:01:09
Nitter (@FoodDepository),"Next year bring it over to Des Plaines, IL","Dec 14, 2025 · 6:44 PM UTC",2026-01-13 23:01:09
