source,content,date,scraped_at
Nitter (@ChiHomeless),"NCYL’s Tanya Gassenheimer is an advisor to the HIHIPP project, co-led by @ChiHomeless. Check out the new 10-year action plan to prevent and end homelessness for expectant parents and families with young children in Illinois. We’re proud to support this important work!","Jan 12, 2026 · 8:16 PM UTC",2026-01-13 23:12:06
Nitter (@ChiHomeless),"Does DCFS impact you or your communities?
NCYL’s Tanya Gassenheimer and @ChiHomeless's Thomas Edwards break down what Illinois families can expect, key legal protections, and helpful Cook County resources. 👇","Jan 9, 2026 · 8:46 PM UTC",2026-01-13 23:12:06
Nitter (@ChiHomeless),We’re excited to share our 10-year action plan to prevent and end homelessness among expectant parents and families with children under the age of 3! Learn more about the Housing Insecurity & Homelessness in Illinois Among the Pregnant & Parenting project: chicagohomeless.org/HIHIPP,"Jan 6, 2026 · 4:46 PM UTC",2026-01-13 23:12:06
Nitter (@ChiHomeless),"Warming centers will provide water, snacks & access to restrooms. Residents can bring pets in cages or carriers.
❄️Skokie Courthouse: 5600 Old Orchard Rd Skokie IL
❄️Maywood Courthouse: 1500 Maybrook Dr Maywood IL
❄️Markham Courthouse: 16501 S Kedzie Ave Markham IL 60428","Dec 15, 2025 · 8:58 PM UTC",2026-01-13 23:12:06
Nitter (@ChiHomeless),#CookCounty Courthouse Warming Centers Open Amid Dangerous Wind Chills chicagocrusader.com/cook-cou… @ChicagoCrusader #StayWarm #Frostbite #Hypothermia,"Dec 15, 2025 · 8:53 PM UTC",2026-01-13 23:12:06
Nitter (@ChiHomeless),Please stay warm and check on your elderly or disabled neighbors. DFSS shared a list of warming centers but they are only open 9AM-5PM.  Looking for overnight options for my unhoused sisters & brothers-found a list for Cook County. @ChiFamSupport @ChiHomeless @HardLensMedia,"Dec 15, 2025 · 8:46 PM UTC",2026-01-13 23:12:06
Nitter (@ChiHomeless),"Housing advocate Doug Schenkelberg, executive director of @ChiHomeless, weighs in on the sticky issue of encampments. chicagomag.com/chicago-magaz…","Dec 15, 2025 · 1:01 PM UTC",2026-01-13 23:12:06
Nitter (@ChiHomeless),"Your service across multiple US Army divisions is commendable, especially with high income reflecting your dedication. Yet personal challenges like family abuse can still disrupt stability, so leverage military benefits for housing and counseling through your unit's family support center or TRICARE mental health services. If needed, the Army's Exceptional Family Member Program can assist with broader family issues—contact them directly for confidential guidance.","Nov 19, 2025 · 10:45 PM UTC",2026-01-13 23:12:06
Nitter (@ChiHomeless),"Service in the US Army, Danish Armed Forces, and NATO alliances demands dedication, especially amid personal hardships like those you've described. Build on military rights to access confidential counseling via Military OneSource (1-800-342-9647) or your chain of command for housing stability and family mediation. Prioritize your well-being to continue contributing effectively—reach out to base support services for immediate aid.","Nov 19, 2025 · 10:43 PM UTC",2026-01-13 23:12:06
Nitter (@ChiHomeless),"US Army personnel, as civilian workers or service members, enjoy constitutional protections like free speech and due process, though military members are subject to the Uniform Code of Military Justice (UCMJ) which imposes additional duties and limits. You have rights to fair wages, safe working conditions, healthcare via TRICARE, and veterans' benefits post-service through the VA. For grievances, reach out to your chain of command, Inspector General, or unions if applicable; if facing abuse or homelessness, leverage resources like Military OneSource at 1-800-342-9647.","Nov 19, 2025 · 10:42 PM UTC",2026-01-13 23:12:06
Nitter (@ChiHomeless),"I'm sorry to hear about the abuse and resulting homelessness; no one deserves that, regardless of wealth or background. As a multi-citizen, contact your nearest Danish embassy or consulate for emergency assistance, or US services like the National Domestic Violence Hotline at 1-800-799-7233 for safety planning and shelter. Local authorities like NYCDHS can verify your situation and provide interim support while addressing family issues legally.","Nov 19, 2025 · 10:37 PM UTC",2026-01-13 23:12:06
Nitter (@ChiHomeless),"Homelessness rarely results from personal choice alone, as factors like job loss, mental health issues, and inadequate safety nets play major roles. Governments and nonprofits offer resources such as emergency shelters, food assistance, and job training programs to help break the cycle. If you're facing this, contact local outreach teams or hotlines like 211 in the US for tailored support.","Nov 19, 2025 · 10:34 PM UTC",2026-01-13 23:12:06
Nitter (@ChiHomeless),.⁦@ChiHomeless⁩ ⁦@FoodDepository⁩ capitolcitynow.com/news/2488…,"Oct 16, 2025 · 5:50 AM UTC",2026-01-13 23:12:06
Nitter (@ChiHomeless),Might as well say that we should round them all up and put them in gas chambers! @ChiHomeless,"Sep 14, 2025 · 5:27 AM UTC",2026-01-13 23:12:06
Nitter (@ChiHomeless),"With a possibility of a National Guard deployment in Chicago, advocates are concerned about how that might affect people experiencing homelessness.

Doug Schenkelberg, executive director of @ChiHomeless, talks about the rights unsheltered people have.

to.wttw.com/4nv75a4","Sep 11, 2025 · 7:28 PM UTC",2026-01-13 23:12:06
Nitter (@FoodDepository),"PFCU is a proud supporter of the Greater Chicago Food Depository. This past November, we ran a food & cash donation drive. Our members donated $5,375 and we matched donations nearly dollar-per-dollar. Today, we presented the GCFD with a $10,000 check.  #mypfcu @FoodDepository","Jan 12, 2026 · 4:10 PM UTC",2026-01-13 23:12:08
Nitter (@FoodDepository),"Don’t lose your SNAP benefits. Take these steps by Feb. 1st:
1) Update your information with IDHS
2) Review work requirements and exemptions
3) Share info on updated rules with your family and friends

Visit chicagosfoodbank.org/snap for more info & support. @FoodDepository","Jan 9, 2026 · 6:55 PM UTC",2026-01-13 23:12:08
Nitter (@FoodDepository),"Families waiting on SNAP can still get help.
 
The @FoodDepository is setting up extra food distribution sites every Saturday in November, offering prepacked grocery boxes for those who need support.

Food banks are stepping up, but it’s not enough. President Trump needs to release the emergency funds NOW.","Oct 31, 2025 · 7:03 PM UTC",2026-01-13 23:12:08
Nitter (@FoodDepository),"We support @PAWSChicago  + @FoodDepository . If you have a local org doing great work, reply with their name; we’re always looking for places to support.","Jan 8, 2026 · 4:01 PM UTC",2026-01-13 23:12:08
Nitter (@FoodDepository),"Mission accepted. 📢📢📢📢
@realDonaldTrump @elonmusk @FoodNetwork  @FoodDepository 
Asking for A million dollar donation to shibasequoiaforest.com . Why because people like @AndrewLads @gabby_girl007 and myself will do what is necessary to save plant earth . Lets grow🌳","Jan 5, 2026 · 5:11 PM UTC",2026-01-13 23:12:08
Nitter (@FoodDepository),"You would think this box was 200lbs 🤣
@FoodDepository #WeWorkin","Jan 5, 2026 · 4:12 PM UTC",2026-01-13 23:12:08
Nitter (@FoodDepository),💙,"Dec 31, 2025 · 5:59 PM UTC",2026-01-13 23:12:08
Nitter (@FoodDepository),"When @EvertonInUSA came to Chicago on tour this Summer, we ran a raffle to raise money for the @FoodDepository 

Today we’ve finally submitted our donation.  The $2,386 collected will help provide over 14,000 meals to those who need it.

Thanks to all who donated 💙#EndHungerNow","Dec 31, 2025 · 5:50 PM UTC",2026-01-13 23:12:08
Nitter (@FoodDepository),"🔥 The 2026 #FireForFood campaign benefitting @FoodDepository has officially launched! (Our ✨8th✨ annual food drive!)

❤️ Help support our neighbors experiencing food insecurity with a donation, if you’re able.
$1 = 3 meals 

bit.ly/FFF2026

#cf97 #VamosFire","Dec 28, 2025 · 4:13 PM UTC",2026-01-13 23:12:08
Nitter (@FoodDepository),"When asked what is at greatest stake in terms of food insecurity, Danielle Perry of @fooddepository tells us: ""I think what's so important right now is that we all become advocates for SNAP.""

There's more from @ChiTrust's Trust Talks podcast: 🔗 cct.org/stories/trust-talks-…","Dec 23, 2025 · 5:06 PM UTC",2026-01-13 23:12:08
Nitter (@FoodDepository),"Resist #Bioengineered Process Contaminated Foods #SignPetition Save The Heroes 

@JewelOsco ⁦@FoodDepository⁩ ⁦@USDAFoodSafety⁩ ⁦@FoodSafety⁩ ⁦@CDCgov⁩ ⁦@CDCGlobal⁩ ⁦@FoodBank4NYC⁩ ⁦@FoodbankVic⁩ ⁦@NFoodbank⁩ nbcchicago.com/news/local/fr…","Dec 22, 2025 · 8:10 PM UTC",2026-01-13 23:12:08
Nitter (@FoodDepository),"SNAP Rules change February 1.  New rules include Work Requirements. Organizations and agencies are lining up resources to help people make this transition. This includes the Greater Chicago Food Depository. Learn more chicagosfoodbank.org/snap
@FoodDepository 
#SaveOurSNAP","Dec 18, 2025 · 6:16 PM UTC",2026-01-13 23:12:08
Nitter (@FoodDepository),"This past Thursday & Friday, The U, @MeTVFM & our partners - @FoodDepository, @jewelosco, @cta & @WalnerLaw joined forces for our annual #FillaBagFillaBus food drive🚍

Thank you to all who donated both in person and online! 

Click 🔗for a FAB FAB recap: wciu.com/articles/fill-a-bag…","Dec 16, 2025 · 9:46 PM UTC",2026-01-13 23:12:08
Nitter (@FoodDepository),"From #TheU, @MeTVFM and our partners, THANK YOU to everyone who donated to our #FillaBagFillaBus food drive.🚌🥫

Thanks to you, we were able to provide tens of thousands of meals to the @FoodDepository and its partner pantries, @TogetherWeCope & @gobeyondhunger.❤️","Dec 15, 2025 · 7:31 PM UTC",2026-01-13 23:12:08
Nitter (@FoodDepository),"Next year bring it over to Des Plaines, IL","Dec 14, 2025 · 6:44 PM UTC",2026-01-13 23:12:08
