date,total_spend
2022-09-10,2068306.3800000001
2022-09-12,549360.0
2022-09-14,1159402.86
2022-09-16,17258072.58
2022-09-22,294018.48
2022-09-23,38445577.38
2022-09-27,2134460.16
2022-09-30,54678331.26
2022-10-01,1223299.98
2022-10-03,664020.0
2022-10-04,2422258.02
2022-10-05,11576880.0
2022-10-06,2185286.04
2022-10-07,71708287.14
2022-10-11,30618.0
2022-10-12,174029.94
2022-10-13,49410.9
2022-10-14,62733034.98
2022-10-17,7761.6
2022-10-18,310590.0
2022-10-19,1083237.12
2022-10-21,83988088.38
2022-10-22,14341.32
2022-10-24,1308462.12
2022-10-25,92054.34000000001
2022-10-28,106220576.7
2022-10-31,6229878.4799999995
2022-11-01,532350.0
2022-11-02,415885.68
2022-11-03,7628259.239999999
2022-11-04,5990670.0
2022-11-11,97809010.74
2022-11-15,249691.68
2022-11-16,2074592.52
2022-11-17,4803055.74
2022-11-18,122510247.64
2022-11-21,363658.68
2022-11-22,4630462.199999999
2022-11-25,89907414.66000001
2022-11-29,3162600.0
2022-11-30,7351699.32
2022-12-01,12244231.44
2022-12-02,103690670.58
2022-12-04,2100368.34
2022-12-05,299824.56
2022-12-06,1259891.64
2022-12-07,200156.04
2022-12-08,1490819.4
2022-12-09,112098787.92
2022-12-10,6162.66
2022-12-13,327720.96
2022-12-15,151072.74
2022-12-16,114339472.38
2022-12-19,2000880.0
2022-12-21,12310.199999999637
2022-12-22,1965453.8399999996
2022-12-23,109533395.16000001
2022-12-27,708750.0
2022-12-28,2520000.0
2022-12-29,64652454.72
2022-12-30,104898082.5
2022-12-31,82056396.39999999
2023-01-01,1484910.0
2023-01-04,7068773.88
2023-01-05,2694050.0999999996
2023-01-06,119186754.46
2023-01-07,425557.44
2023-01-09,2910660.48
2023-01-10,11810053.08
2023-01-11,747831.42
2023-01-12,30492.0
2023-01-13,124886190.32000001
2023-01-16,674100.0
2023-01-18,708750.0
2023-01-20,143775209.34
2023-01-21,1297800.0
2023-01-23,3710385.0
2023-01-25,7814469.600000001
2023-01-27,351748701.36
2023-01-30,6486459.84
2023-01-31,11309683.14
2023-02-01,1968750.0
2023-02-02,11544750.0
2023-02-03,269176076.82
2023-02-06,7507518.48
2023-02-07,29015.28
2023-02-08,174091.68000000002
2023-02-09,1354500.0
2023-02-10,11402506.08
2023-02-13,86299778.88
2023-02-14,891450.0
2023-02-15,1946504.7000000002
2023-02-16,756000.0
2023-02-17,409618387.08
2023-02-20,12128946.48
2023-02-21,9671.76
2023-02-22,30240.0
2023-02-23,2654527.68
2023-02-24,278172216.0
2023-02-27,29651604.419999998
2023-02-28,122650359.3
2023-03-01,3272850.0
2023-03-02,803250.0
